"","BassisC_2014_exposure","FloresG_2014","GalimanasV_2014","HalboubE_2020_exposure","HalboubE_2020","MaruyamaH_2021","SarkarP_2021","ShaiberA_2020a","YuG_2016","YuG_2016_exposure","WidyarmanA_2021","TangB_2023","CaselliE_2020","FerrettiP_2018","HMP_2012","ShaiberA_2020b","BelstromD_2021","LarsonP_2022"
"Bacteroides_intestinalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Filifactor_alocis",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"Rothia_mucilaginosa",0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1
"Lachnoanaerobaculum_saburreum",0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"Streptococcus_gordonii",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
"Leptotrichia_hofstadii",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Mogibacterium_neglectum",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Campylobacter_mucosalis",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Streptococcus_sanguinis",0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0
"Fusobacterium_periodonticum",0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,0
"Campylobacter_showae",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tannerella_forsythia",0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0
"Capnocytophaga_granulosa",0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Neisseria_oralis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Helicobacter_pylori",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Soonwooa_buanensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leptotrichia_hongkongensis",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gemella_haemolysans",0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0
"Gemella_palaticanis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillus_cereus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Slackia_exigua",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_viscosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_oralis",0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1
"Streptococcus_sinensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cardiobacterium_valvarum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_pleuritidis",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Corynebacterium_argentoratense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Howardella_ureilytica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parascardovia_denticolens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptobacillus_moniliformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Selenomonas_ruminantium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_sulci",0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"Streptococcus_parasanguinis",0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1
"Prevotella_oralis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_graevenitzii",1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0
"Alloprevotella_rava",0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
"Pseudomonas_aeruginosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atopobium_parvulum",1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
"Stenotrophomonas_maltophilia",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Treponema_amylovorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_nanceiensis",1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
"Shuttleworthia_satelles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Treponema_lecithinolyticum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neisseria_macacae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_intermedius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Treponema_socranskii",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Dialister_pneumosintes",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Selenomonas_flueggei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peptostreptococcus_stomatis",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_reuteri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butyrivibrio_fibrisolvens",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Mycoplasma_salivarium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mobiluncus_curtisii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Simonsiella_muelleri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_aurantiaca",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Leptotrichia_shahii",0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"Capnocytophaga_ochracea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gemella_sanguinis",0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0
"Prevotella_intermedia",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_fusca",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Selenomonas_sputigena",0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Veillonella_rodentium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bulleidia_extructa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haemophilus_parahaemolyticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alloprevotella_tannerae",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"Actinomyces_georgiae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_oligofermentans",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_lingnae",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Streptococcus_equinus",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Lactobacillus_salivarius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_maculosa",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Haemophilus_influenzae",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Capnocytophaga_haemolytica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_aminobutyricum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Porphyromonas_gulae",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonella_parvula",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"Actinomyces_cardiffensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Capnocytophaga_sputigena",0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"Propionibacterium_acnes",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Mobiluncus_mulieris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Escherichia_coli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Treponema_medium",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Selenomonas_infelix",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Leptotrichia_goodfellowii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Selenomonas_bovis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_fermentum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neisseria_elongata",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Oribacterium_sinus",1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0
"Solobacterium_moorei",0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
"Eggerthia_catenaformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Granulicatella_elegans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neisseria_subflava",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Campylobacter_concisus",0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0
"Prevotella_melaninogenica",1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0
"Megasphaera_micronuciformis",0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0
"Cryptobacterium_curtum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abiotrophia_defectiva",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Gemella_morbillorum",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Lactococcus_lactis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haemophilus_sputorum",0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
"Veillonella_atypica",1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1
"Campylobacter_gracilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_australis",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
"Phocaeicola_abscessus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Campylobacter_rectus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_constellatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_nigrescens",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Corynebacterium_matruchotii",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eikenella_corrodens",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parvimonas_micra",0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Scardovia_wiggsiae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fusobacterium_nucleatum",0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0
"Prevotella_saccharolytica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Catonella_morbi",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"Morococcus_cerebrosus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_massiliensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_salivarius",0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1
"Prevotella_buccae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neisseria_meningitidis",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alloscardovia_omnicolens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staphylococcus_epidermidis",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Mogibacterium_timidum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_mutans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_thermophilus",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Propionibacterium_propionicum",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neisseria_flavescens",0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0
"Streptococcus_anginosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leptotrichia_trevisanii",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Leptotrichia_wadei",0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0
"Streptococcus_mitis",0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1
"Dialister_micraerophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_oris",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Porphyromonas_catoniae",0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0
"Aggregatibacter_aphrophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnoanaerobaculum_umeaense",0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Eubacterium_infirmum",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Neisseria_mucosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haemophilus_pittmaniae",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_micans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kingella_denitrificans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonella_denticariosi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corynebacterium_durum",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Neisseria_bacilliformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kingella_oralis",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Cardiobacterium_hominis",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Fretibacterium_fastidiosum",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_peroris",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Olsenella_profusa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_gasseri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Selenomonas_artemidis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_infantis",0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
"Prevotella_histicola",0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0
"Aggregatibacter_segnis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_suis",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Prevotella_multiformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centipeda_periodontii",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_israelii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_naeslundii",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_turicensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_lactarius",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Capnocytophaga_gingivalis",0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Prevotella_loescheii",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Veillonella_tobetsuensis",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_oulorum",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Sneathia_sanguinegens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atopobium_rimae",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Selenomonas_dianae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Treponema_maltophilum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Treponema_vincentii",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Butyrivibrio_proteoclasticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haemophilus_haemolyticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Johnsonella_ignava",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moryella_indoligenes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stomatobaculum_longum",0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0
"Veillonella_caviae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_phytofermentans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peptostreptococcus_anaerobius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neisseria_perflava",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staphylococcus_aureus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_jejuni",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"Bifidobacterium_longum",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_johnsonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kingella_kingae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Porphyromonas_somerae",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
"Aggregatibacter_sp_oral_taxon_458",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haemophilus_sp_HMSC71H05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_bacterium_oral_taxon_096",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Leptotrichia_sp_oral_taxon_215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Prevotella_sp_oral_taxon_306",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Tannerella_sp_oral_taxon_HOT_286",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Actinomyces_sp_HMSC035G02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Actinomyces_sp_HPA0247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Actinomyces_sp_ICM47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Actinomyces_sp_S6_Spd3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Actinomyces_sp_oral_taxon_181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Oribacterium_asaccharolyticum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Oribacterium_parvum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Streptococcus_sp_A12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Streptococcus_sp_F0442",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Streptococcus_sp_HMSC034E03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Streptococcus_sp_HMSC067H01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Streptococcus_sp_HMSC071D03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_sp_HPH0090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonella_infantium",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"Veillonella_sp_T11011_6",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
